user,Year,Gender (Optional),Race/Ethnicity (Optional),Team,Tenure,Leadership Role?,I know what is expected of me at Lotus Academies. ,"I have the materials, equipment, and resources I need to meet expectations in my work. ","At Lotus Academies, I have the opportunity to do what I do best every day. ","In the last seven days, I have received recognition or praise at work. ",My manager or someone at Lotus Academies seems to care about me as a person. ,Someone at work encourages and supports me in my professional growth. ,"At Lotus Academies, my opinions seem to count. ",I am passionate about Lotus Academies' mission and values. ,The people at Lotus Academies are committed to doing excellent work. ,"I have established strong, trusted relationships with co-workers at Lotus Academies. ","In the last six months, someone at work has talked to me about my progress. ","In the last year, I have had opportunities at work to learn and grow. ",Lotus Academies provides an attractive career path for people who are interested in working in education reform. ,I feel confident that Lotus Academies will make good decisions about the growth and direction of the firm. ,I am satisfied working at Lotus Academies. ,I would recommend employment at Lotus Academies to others. ,I feel safe to express my views at work.,Lotus Academies values and acts on diverse opinions and ideas.,Lotus Academies creates an environment where I can do my best work.,"At Lotus Academies, all employees are treated with respect.",I feel valued by Lotus Academies.,"I understand the rationale behind key strategic, organizational decisions we make at Lotus Academies.","I think it’s valuable to examine and discuss the impact of race, gender, and other identities on our work at CGSF.","I have a basic understanding of concepts related to diversity, equity, and inclusion.",Lotus Academies leadership is equipped to participate in internal and external conversations about race and gender.,I am clear on which decisions I have the authority to make.,"When I work with others, it is clear who will make which decisions."
95,2020,Female,White,Support Staff/Technology/Consultants,Less than 1 year,Non-Leader,7,7,6,7,7,6,6,7,7,6,7,7,7,7,7,6,6,6,6,7,6,,,,,,
96,2020,Female,White,Visual Art,Over 3 years,Non-Leader,1,7,6,7,7,7,6,7,7,7,7,4,6,7,5,6,7,5,7,7,7,,,,,,
97,2020,,Black,English Language Arts,Less than 1 year,Non-Leader,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,
98,2020,,Black,Social Studies,1-3 years,Non-Leader,7,7,4,7,7,6,7,7,7,7,7,7,6,7,7,7,7,5,4,7,7,,,,,,
99,2020,,Latino/Hispanic,English Language Arts,Less than 1 year,Non-Leader,5,5,5,4,5,4,4,7,6,4,4,4,4,6,5,5,4,4,5,5,4,,,,,,
100,2020,,White,Foreign Language,Less than 1 year,Non-Leader,6,5,4,2,7,6,3,6,6,6,6,7,7,4,5,6,6,5,5,6,5,,,,,,
101,2020,,White,Foreign Language,Over 3 years,Leader,6,6,4,4,6,5,5,5,6,6,5,3,7,5,5,5,4,5,5,5,6,,,,,,
102,2020,,White,Mathematics/English,Over 3 years,Leader,5,6,7,5,6,6,7,7,7,7,5,6,7,6,7,7,5,4,6,5,7,,,,,,
103,2020,,White,Social Studies,Over 3 years,Non-Leader,6,7,5,7,6,6,6,7,6,6,6,6,6,5,6,6,6,5,5,6,4,,,,,,
104,2020,,White,Support Staff/Technology/Consultants,Over 3 years,Non-Leader,6,7,6,7,7,5,7,7,6,6,7,7,6,5,6,5,6,5,6,6,6,,,,,,
105,2020,,,English Language Arts,Less than 1 year,Non-Leader,6,6,5,7,7,7,7,7,7,5,7,6,6,6,6,7,7,7,6,6,6,,,,,,
106,2020,,,Mathematics/English,1-3 years,Non-Leader,5,6,5,1,6,3,3,6,6,7,1,3,1,1,3,2,2,2,5,5,1,,,,,,
107,2020,,,Visual Art,Over 3 years,Non-Leader,7,7,7,6,7,6,7,7,7,7,6,6,6,6,7,6,6,5,6,6,7,,,,,,
108,2020,,,Visual Art,1-3 years,Non-Leader,5,6,3,6,7,6,3,6,6,4,6,4,4,4,4,4,2,7,3,4,4,,,,,,
109,2021,Male,Asian,Human Resources,Over 3 years,Leader,6,6,6,7,7,5,7,7,7,5,6,6,7,6,6,7,6,5,6,5,6,7,6,5,4,5,5
110,2021,Male,Asian,Mathematics,1-3 years,Non-Leader,4,5,5,4,7,5,3,7,7,5,6,5,4,6,2,6,3,6,4,7,4,5,7,5,6,4,5
111,2021,Male,Black,Mathematics,1-3 years,Leader,7,7,7,7,7,6,7,7,7,6,7,6,3,7,7,7,7,7,7,5,7,7,7,7,6,7,5
112,2021,Male,Black,Mathematics,1-3 years,Leader,6,5,6,4,6,6,7,6,6,6,6,7,6,7,6,6,7,5,6,6,7,7,7,6,5,5,5
113,2021,Male,Black,Principal,Over 3 years,Leader,7,7,7,6,7,6,7,7,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,7,5,7,6
114,2021,Male,"Multiple or some other race, ethnicity, or origin",Mathematics,Over 3 years,Non-Leader,7,7,5,5,7,7,7,7,7,7,4,7,4,7,5,7,7,7,5,6,6,7,5,6,5,7,6
115,2021,Male,White,Foreign Languages,1-3 years,Non-Leader,5,6,6,7,7,6,5,6,6,5,5,7,6,7,6,7,6,5,6,5,6,5,7,6,5,5,4
116,2021,Male,White,Foreign Languages,Over 3 years,Leader,6,5,4,4,7,6,6,7,6,5,5,4,6,6,5,6,5,5,4,6,6,6,7,6,5,5,5
117,2021,Male,White,Social Studies,1-3 years,Non-Leader,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,5,6,5,6,5,6,5,5,6,5
118,2021,Male,White,Social Studies,1-3 years,Leader,6,7,6,3,7,6,7,7,4,7,5,7,6,6,6,6,6,6,5,5,7,6,7,6,5,5,5
119,2021,Male,White,Social Studies,1-3 years,Non-Leader,6,7,6,7,7,7,6,7,7,7,7,7,3,7,7,7,7,5,7,5,7,5,7,7,3,6,5
120,2021,Male,White,Technology,1-3 years,Non-Leader,7,6,6,6,7,5,5,7,7,6,7,7,6,5,7,6,3,5,6,5,6,5,6,6,5,6,5
121,2021,Male,White,Visual Arts,Less than 1 year,Non-Leader,6,5,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,7,6,4,5,4
122,2021,Female,Asian,Administration,Less than 1 year,Non-Leader,5,7,7,7,6,5,6,7,7,4,5,7,7,7,6,7,5,6,6,7,7,4,7,7,4,4,5
123,2021,Female,Asian,Principal,Less than 1 year,Leader,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5
124,2021,Female,Asian,Visual Arts,Less than 1 year,Non-Leader,5,5,4,4,7,5,3,7,4,3,6,7,4,5,5,5,2,3,4,4,3,1,7,7,4,1,1
125,2021,Female,Black,Administration,1-3 years,Leader,7,6,7,4,5,7,7,7,7,6,7,7,6,6,7,7,6,5,6,7,7,6,4,6,4,7,5
126,2021,Female,Latino/Hispanic,Consultant,Over 3 years,Non-Leader,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,7,7,7,7,7,6,6,6
127,2021,Female,Latino/Hispanic,English Language Arts,Less than 1 year,Non-Leader,4,6,5,6,7,7,5,7,5,6,6,6,6,5,6,6,6,6,5,5,6,5,7,6,6,5,5
128,2021,Female,Latino/Hispanic,English Language Arts,1-3 years,Non-Leader,6,6,6,5,6,6,5,6,6,4,5,5,2,6,6,4,5,5,6,5,6,5,7,6,4,5,5
