SystemID,SystemName,SchoolName,Total,GradePK,GradeKK,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,state_abbrev,academic_school_year
755,Whitfield County,3050-Dawnville Elementary School,449,40,67,69,61,67,58,87,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,3052-Tunnel Hill Elementary School,300,0,57,47,57,46,43,50,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,4050-Dug Gap Elementary School,378,44,58,61,47,52,63,53,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,4052-Valley Point Elementary School,437,22,77,61,69,73,61,74,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,System Total,12619,376,906,891,838,859,879,865,981,1021,1004,1028,1017,995,959,GA,2020-2021
756,Wilcox County,0101-Wilcox County Middle School,293,0,0,0,0,0,0,0,97,102,94,0,0,0,0,GA,2020-2021
756,Wilcox County,0195-Wilcox County Elementary School,553,66,82,70,82,73,77,103,0,0,0,0,0,0,0,GA,2020-2021
756,Wilcox County,0201-Wilcox County High School,356,0,0,0,0,0,0,0,0,0,0,110,76,89,81,GA,2020-2021
756,Wilcox County,System Total,1202,66,82,70,82,73,77,103,97,102,94,110,76,89,81,GA,2020-2021
757,Wilkes County,0105-Washington-Wilkes Primary School,394,0,109,85,83,117,0,0,0,0,0,0,0,0,0,GA,2020-2021
757,Wilkes County,0110-Washington-Wilkes Comprehensive High School,378,0,0,0,0,0,0,0,0,0,0,114,80,94,90,GA,2020-2021
757,Wilkes County,0205-Washington-Wilkes Elementary School,267,64,0,0,0,0,92,111,0,0,0,0,0,0,0,GA,2020-2021
757,Wilkes County,0210-Washington-Wilkes Middle School,329,0,0,0,0,0,0,0,101,115,113,0,0,0,0,GA,2020-2021
757,Wilkes County,System Total,1368,64,109,85,83,117,92,111,101,115,113,114,80,94,90,GA,2020-2021
758,Wilkinson County,0175-Wilkinson County Elementary School,242,0,0,0,0,65,92,85,0,0,0,0,0,0,0,GA,2020-2021
758,Wilkinson County,0275-Wilkinson County Middle School,289,0,0,0,0,0,0,0,88,91,110,0,0,0,0,GA,2020-2021
758,Wilkinson County,1050-Wilkinson County Primary School,249,53,64,55,77,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
758,Wilkinson County,3050-Wilkinson County High School,376,0,0,0,0,0,0,0,0,0,0,105,89,88,94,GA,2020-2021
758,Wilkinson County,System Total,1156,53,64,55,77,65,92,85,88,91,110,105,89,88,94,GA,2020-2021
759,Worth County,0111-Worth County Elementary School,675,0,0,0,0,233,215,227,0,0,0,0,0,0,0,GA,2020-2021
759,Worth County,0176-Worth County High School,843,0,0,0,0,0,0,0,0,0,0,264,207,199,173,GA,2020-2021
759,Worth County,0193-Worth County Middle School,755,0,0,0,0,0,0,0,271,244,240,0,0,0,0,GA,2020-2021
759,Worth County,0196-Worth County Primary School,860,164,221,247,228,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
759,Worth County,0197-Worth County Achievement Center,15,0,0,0,0,0,0,0,0,3,1,3,3,4,1,GA,2020-2021
759,Worth County,System Total,3148,164,221,247,228,233,215,227,271,247,241,267,210,203,174,GA,2020-2021
761,Atlanta Public Schools,0100-Herman J. Russell West End Academy,390,0,0,0,0,0,0,0,125,0,265,0,0,0,0,GA,2020-2021
761,Atlanta Public Schools,0101-Parkside Elementary School,584,58,100,97,81,77,86,85,0,0,0,0,0,0,0,GA,2020-2021
761,Atlanta Public Schools,0103-Heritage Academy Elementary School,442,21,51,74,69,75,84,68,0,0,0,0,0,0,0,GA,2020-2021
761,Atlanta Public Schools,0104-John Wesley Dobbs Elementary School,377,22,44,58,52,71,73,57,0,0,0,0,0,0,0,GA,2020-2021
761,Atlanta Public Schools,0105-Finch Elementary,366,36,46,50,70,50,55,59,0,0,0,0,0,0,0,GA,2020-2021
761,Atlanta Public Schools,0106-G.W. Carver High School Early College,520,0,0,0,0,0,0,0,0,0,0,153,129,143,95,GA,2020-2021
